2024-02-03 08:34:03.649 INFO  org.testng.internal.Utils - [TestNG] Running:
2024-02-03 18:40:13.174 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(1)   ----   PASS	 Run Time: 0 min 0 sec 717 ms

2024-02-03 18:40:13.184 INFO  BaseTest - Page closed.
2024-02-03 18:40:13.248 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:13.253 INFO  BaseTest - Context closed.
2024-02-03 18:40:13.256 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 18:40:13.262 INFO  BaseTest - Context created.
2024-02-03 18:40:13.265 INFO  BaseTest - Tracing started
2024-02-03 18:40:13.423 INFO  BaseTest - Page created.
2024-02-03 18:40:13.902 INFO  BaseTest - Open Home page
2024-02-03 18:40:13.902 INFO  BaseTest - Testing....
2024-02-03 18:40:14.698 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(2)   ----   PASS	 Run Time: 0 min 0 sec 792 ms

2024-02-03 18:40:14.711 INFO  BaseTest - Page closed.
2024-02-03 18:40:14.773 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:14.778 INFO  BaseTest - Context closed.
2024-02-03 18:40:14.781 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 18:40:14.788 INFO  BaseTest - Context created.
2024-02-03 18:40:14.791 INFO  BaseTest - Tracing started
2024-02-03 18:40:14.942 INFO  BaseTest - Page created.
2024-02-03 18:40:15.528 INFO  BaseTest - Open Home page
2024-02-03 18:40:15.529 INFO  BaseTest - Testing....
2024-02-03 18:40:16.260 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(3)   ----   PASS	 Run Time: 0 min 0 sec 726 ms

2024-02-03 18:40:16.272 INFO  BaseTest - Page closed.
2024-02-03 18:40:16.324 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:16.329 INFO  BaseTest - Context closed.
2024-02-03 18:40:16.332 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 18:40:16.340 INFO  BaseTest - Context created.
2024-02-03 18:40:16.343 INFO  BaseTest - Tracing started
2024-02-03 18:40:16.501 INFO  BaseTest - Page created.
2024-02-03 18:40:16.878 INFO  BaseTest - Open Home page
2024-02-03 18:40:16.879 INFO  BaseTest - Testing....
2024-02-03 18:40:17.757 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(4)   ----   PASS	 Run Time: 0 min 0 sec 873 ms

2024-02-03 18:40:17.770 INFO  BaseTest - Page closed.
2024-02-03 18:40:17.851 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:17.855 INFO  BaseTest - Context closed.
2024-02-03 18:40:17.858 INFO  BaseTest - RUN tests.Login.LoginTest.testLogin
2024-02-03 18:40:17.865 INFO  BaseTest - Context created.
2024-02-03 18:40:17.867 INFO  BaseTest - Tracing started
2024-02-03 18:40:18.019 INFO  BaseTest - Page created.
2024-02-03 18:40:18.375 INFO  BaseTest - Open Home page
2024-02-03 18:40:18.375 INFO  BaseTest - Testing....
2024-02-03 18:40:19.643 INFO  BaseTest - ?

tests.Login.LoginTest.testLogin(5)   ----   PASS	 Run Time: 0 min 1 sec 265 ms

2024-02-03 18:40:19.648 INFO  BaseTest - Page closed.
2024-02-03 18:40:19.716 INFO  BaseTest - Tracing stopped
2024-02-03 18:40:19.722 INFO  BaseTest - Context closed.
2024-02-03 18:40:19.727 INFO  BaseTest - RUN tests.Login.LoginTest.testLoginAPI
2024-02-03 18:40:19.737 INFO  BaseTest - Context created.
